"source","target","id","developer_comments"
"MSG_000_0","把爆米花放在大厅，
然后躲在暗处埋伏……","MSG_000_0","机翻辅助：

把爆米花放在大厅，
然后躲在暗处埋伏……

把爆米花放在大厅里，决定在暗处埋伏……


决定把爆米花放在大厅里，在暗处贴上……"
"MSG_001_0","原来如此，这就是传说中的
炙烧鲑鱼啊！","MSG_001_0","机翻辅助：

原来如此，这就是传说中的
炙烧鲑鱼啊！

原来如此，这就是传说中的
烤三文鱼啊！

原来如此，这就是传说中的烤鲑鱼！"
"MSG_002_0","呃……你是说炙烧秀吗？","MSG_002_0","机翻辅助：

呃……你是说炙烧秀吗？

嗯……你是说烤肉吗？

嗯……你是说暴露吗？"
"MSG_003_0","嘘……来了。","MSG_003_0","机翻辅助：

嘘……来了。

来了。"
"MSG_003_2_0","……","MSG_003_2_0",""
"MSG_003_4_0","
还是以现行犯逮捕吧。","MSG_003_4_0","机翻辅助：


还是以现行犯逮捕吧。

果然……
确保是现行犯。

还是用现行犯来确保吧。"
"MSG_004_0","等一下等一下！
你拿小熊的布偶装做什么！","MSG_004_0","机翻辅助：

等一下等一下！
你拿小熊的布偶装做什么！

喂喂！
小熊的玩偶装在干什么！

喂、喂！用小熊的玩偶装做了什么！"
"MSG_004_1","我不允许你再做坏事！","MSG_004_1","机翻辅助：

我不允许你再做坏事！

我不允许你再有恶行！

再这样的恶行是不允许的！"
"MSG_005_0","……！？","MSG_005_0","机翻辅助：

……！？

！？"
"MSG_006_0","终于逮到你的狐狸尾巴了。","MSG_006_0","机翻辅助：

终于逮到你的狐狸尾巴了。

终于抓住尾巴了。

我终于抓住尾巴了。"
"MSG_007_0","从状况来看，答案只有一个。
没错，里面的人是……","MSG_007_0","机翻辅助：

从状况来看，答案只有一个。
没错，里面的人是……

根据情况，答案只有一个。
是的，其中包括……

从目前的情况来看，答案只有一个。
是的，里面装的是……"
"MSG_008_0","卡萝琳娜和芮丝汀娜！","MSG_008_0","机翻辅助：

卡萝琳娜和芮丝汀娜！

卡萝丽娜和芮丝汀娜！

萝妮和芮妮！"
"MSG_010_0","唔、唔唔唔……！
为什么会被发现！","MSG_010_0","机翻辅助：

唔、唔唔唔……！
为什么会被发现！

嗯，软绵绵的……！
为什么被发现了！？

咕咕、咕咕……！
为什么被发现了！？"
"MSG_011_0","全都是间接证据……","MSG_011_0","机翻辅助：

全都是间接证据……

全部都是状况证据……

全部是状况证据……"
"MSG_011_1","不过，用消去法来想
就只剩下你们了。","MSG_011_1","机翻辅助：

不过，用消去法来想
就只剩下你们了。

但是，用排除法来考虑的话
剩下的只有你们。

但是，如果用消除法来考虑的话，剩下的只有你们。"
"MSG_012_0","首先是伊莉莎白和西奥多……","MSG_012_0","机翻辅助：

首先是伊莉莎白和西奥多……

首先，伊莉莎白和西奥多……"
"MSG_012_1","在小春发现布偶装之前
和[P5名]在一起的两人是清白的。","MSG_012_1","机翻辅助：

在小春发现布偶装之前
和[P5名]在一起的两人是清白的。

在春找到人偶服之前，和[P5名]在一起的两个人是白色的。


和[P5名]在一起的两人是白色的。"
"MSG_013_0","接着是玛格丽特
发生骚动时，她人在试映室。","MSG_013_0","机翻辅助：

接着是玛格丽特
发生骚动时，她人在试映室。

其次，玛格丽特小姐
骚乱发生的时候在试映室。

接下来，玛格丽特先生
骚乱发生的时候在试映室。"
"MSG_013_1","和布偶装面对面的玛丽
显然也不是嫌疑犯。","MSG_013_1","机翻辅助：

和布偶装面对面的玛丽
显然也不是嫌疑犯。

与玩偶服面对面的玛丽显然也不是候选人。


面对着人偶服的玛丽，显然也不是候选人。"
"MSG_014_0","这么一来，就只剩下你们了
就是这样。","MSG_014_0","机翻辅助：

这么一来，就只剩下你们了
就是这样。

那样的话，剩下的就只有你们了……
就是这么回事。

这样的话，剩下的就只有你们了。"
"MSG_015_0","是否为单独犯，小熊的
布偶装就是线索。","MSG_015_0","机翻辅助：

是否为单独犯，小熊的
布偶装就是线索。

是不是单独犯，小熊的
玩偶服成为了提示。

至于是不是单独作案，小熊的人偶服给了我灵感。"
"MSG_015_1","因为娇小的两人
不管再怎么努力，都无法独自操纵布偶装。","MSG_015_1","机翻辅助：

因为娇小的两人
不管再怎么努力，都无法独自操纵布偶装。

身材矮小的两个人，无论怎么努力
一个人都不能移动玩偶。

小个子的两个人，无论怎么努力，一个人是动不了人偶服的。"
"MSG_015_2","之所以会用不自然的方式走路
是因为两人共乘一肩。","MSG_015_2","机翻辅助：

之所以会用不自然的方式走路
是因为两人共乘一肩。

走路姿势不自然是因为
两个人骑在肩上。

不自然的走路方式是因为两个人骑着肩膀。"
"MSG_015_2_0","没想到
你们居然在小熊的布偶装里双载……","MSG_015_2_0","机翻辅助：

没想到
你们居然在小熊的布偶装里双载……

没想到，在小熊的玩偶服中
两个人羽织着……

没想到在小熊的玩偶服中竟然有两个人披上了外套……"
"MSG_015_2_1","只有你们两个玩得那么开心，太狡猾了，小熊！
小熊也想一起玩小熊！","MSG_015_2_1","机翻辅助：

只有你们两个玩得那么开心，太狡猾了，小熊！
小熊也想一起玩小熊！

只有两个人看起来很开心很狡猾的小熊！
小熊也想一起尝试的小熊！

只有两个人开心又狡猾的小熊！
小熊也想一起做的小熊！"
"MSG_016_0","卡萝琳娜，这下
你已经无法狡辩了吧。","MSG_016_0","机翻辅助：

卡萝琳娜，这下
你已经无法狡辩了吧。

卡萝丽娜，这已经是无法抵赖的状况了。


萝丽娜卡，这已经到了无法推脱的地步。"
"MSG_017_0","唔、唔唔唔……","MSG_017_0","机翻辅助：

唔、唔唔唔……

嗯、嗯……

呜呜、呜呜……"
"MSG_018_0","为什么要这么做？","MSG_018_0","机翻辅助：

为什么要这么做？

为什么要做这种事？

为什么会这样？"
"MSG_019_0","听说爆米花的传闻后
卡萝琳娜说她无论如何都想吃……","MSG_019_0","机翻辅助：

听说爆米花的传闻后
卡萝琳娜说她无论如何都想吃……

听说爆米花的传闻
卡萝丽娜无论如何都想吃……

听到爆米花的传闻，萝丽娜说无论如何都想吃……"
"MSG_020_0","芮丝汀娜
应该也很有兴趣吧！","MSG_020_0","机翻辅助：

芮丝汀娜
应该也很有兴趣吧！

芮丝汀娜也很感兴趣吧！？"
"MSG_020_1","而、而且，都是因为西奥多说那是他有史以来最棒的杰作
……","MSG_020_1","机翻辅助：

而、而且，都是因为西奥多说那是他有史以来最棒的杰作
……

对，而且，西奥多是过去最高杰作
之类的断言……

而且，西奥多是过去最高杰作……"
"MSG_021_0","我才知道新口味的爆米花没有材料，
而且数量有限。","MSG_021_0","机翻辅助：

我才知道新口味的爆米花没有材料，
而且数量有限。

新出的爆米花没有材料，
知道了不会那么多。

新作的爆米花因为没有材料，所以知道了数不出来。"
"MSG_021_1","不过，知道愈不能吃
欲望就愈强烈……","MSG_021_1","机翻辅助：

不过，知道愈不能吃
欲望就愈强烈……

只是，越知道不能吃
欲望就越强烈……

但是，越是知道不能吃，欲望就越强烈……"
"MSG_021_2","……卡萝丽娜是这么说的。","MSG_021_2","机翻辅助：

……卡萝丽娜是这么说的。

……萝丽娜说。

卡萝丽娜说。"
"MSG_021_2_0","所以，不要只怪我一个人！","MSG_021_2_0","机翻辅助：

所以，不要只怪我一个人！

所以，不要只怪我！"
"MSG_021_4_0","正当我们烦恼不已的时候，
那只小熊布偶出现在我们面前。","MSG_021_4_0","机翻辅助：

正当我们烦恼不已的时候，
那只小熊布偶出现在我们面前。

在这样烦恼的我们面前出现的是那只小熊的玩偶。


出现在如此烦恼的我们面前的，是那个小熊的玩偶。"
"SEL_022_0","只是一时兴起吗？","SEL_022_0","机翻辅助：

只是一时兴起吗？

是他的鬼主意吗

是一时冲动吗"
"SEL_022_1","如果没有布偶的话……","SEL_022_1","机翻辅助：

如果没有布偶的话……

只要没有玩偶服……

如果没有人偶服的话……"
"MSG_023_0","是的，那只布偶仿佛在对我们呢喃
“穿上我吧”。","MSG_023_0","机翻辅助：

是的，那只布偶仿佛在对我们呢喃
“穿上我吧”。

嗯，那个玩偶服简直就像是在对我们说“穿上”一样。


是的，那个玩偶简直就像在对我们说：“穿上吧。”"
"MSG_024_0","也就是说，你们也是
被布偶玩弄的受害者……","MSG_024_0","机翻辅助：

也就是说，你们也是
被布偶玩弄的受害者……

也就是说，你们也是被玩偶装逼疯的受害者……


也就是说，你们也是被人偶服打乱的受害者……"
"MSG_025_0","咦？等等？是小熊的错吗？小熊的错？","MSG_025_0","机翻辅助：

咦？等等？是小熊的错吗？小熊的错？

啊，喂？小熊的错小熊！？

啊，choo ？小熊的错小熊！？"
"MSG_026_0","呜呜……
我本来不想把事情闹得这么大的。","MSG_026_0","机翻辅助：

呜呜……
我本来不想把事情闹得这么大的。

唔……我并不想把事情搞得这么大。


嗯……我没想把事情搞得这么严重。"
"MSG_026_1","骑在肩膀上，我没办法好好操纵布偶……
对不起……","MSG_026_1","机翻辅助：

骑在肩膀上，我没办法好好操纵布偶……
对不起……

肩车的话，不能很好地操纵人偶服……
对不起……

肩车不能很好地操纵玩偶……
对不起……"
"MSG_027_0","是的。
惊扰到各位，真的很抱歉……","MSG_027_0","机翻辅助：

是的。
惊扰到各位，真的很抱歉……

是的。
引起骚动，对不起……

嗯。打扰了，非常抱歉……"
"MSG_028_0","无法坦率的少女心
小熊懂小熊懂！","MSG_028_0","机翻辅助：

无法坦率的少女心
小熊懂小熊懂！

不能坦率的少女心，
小熊能明白的小熊哟！

不坦率的少女心，小熊懂的小熊啊！"
"MSG_028_1","……所以，锵锵！","MSG_028_1","机翻辅助：

……所以，锵锵！

……就是这样，哗啦哗啦！

所以，再见！"
"MSG_028_2","这是泰欧帮我准备的小熊！","MSG_028_2","机翻辅助：

这是泰欧帮我准备的小熊！

特奥为我准备的小熊！

请teo准备了的小熊！"
"MSG_028_2_0","这、这个是……！","MSG_028_2_0","机翻辅助：

这、这个是……！

那、那是……！

这、这……！"
"MSG_028_4_0","要给我吗！","MSG_028_4_0","机翻辅助：

要给我吗！

给我吗！？

你要给我吗？？"
"MSG_028_6_0","送给你！
大家一起分享小熊的喜悦！","MSG_028_6_0","机翻辅助：

送给你！
大家一起分享小熊的喜悦！

礼物·四·优！
高兴的是大家都知道的小熊！

礼物for you ！
开心的是，大家一起分享小熊！"
"MSG_029_0","嚼嚼嚼嚼……唔咕咕！","MSG_029_0","机翻辅助：

嚼嚼嚼嚼……唔咕咕！

扭动……扭动！

咕嘟咕嘟……呜呜呜！"
"MSG_029_1","这、这个味道……真是令人震撼！","MSG_029_1","机翻辅助：

这、这个味道……真是令人震撼！

这个，这个味道……多么令人震惊啊！

这个、这个味道……多么令人震惊啊！"
"MSG_030_0","非常刺激……
从刚才开始……嚼嚼……手就停不下来。","MSG_030_0","机翻辅助：

非常刺激……
从刚才开始……嚼嚼……手就停不下来。

非常刺激……
从刚才开始……扭动……手停不下来。

很刺激……
从刚才开始……窝头……手停不下来。"
"MSG_031_0","小熊把礼物发给大家，大家也和好了！
小熊冲啊——！","MSG_031_0","机翻辅助：

小熊把礼物发给大家，大家也和好了！
小熊冲啊——！

也发给大家，和好的小熊！
去小熊哟！

也分发给大家，和好小熊！去的小熊哟！"
"MSG_032_0","呜……那个，该怎么说呢……
谢谢你们。","MSG_032_0","机翻辅助：

呜……那个，该怎么说呢……
谢谢你们。

呜……那个，什么……
谢谢。

嗯……那个，是什么……谢谢。"
"MSG_032_2_0","我也要再次向你们道谢……
谢谢你们。","MSG_032_2_0","机翻辅助：

我也要再次向你们道谢……
谢谢你们。

我也再次向你道谢……
非常感谢。

我也再次表示感谢……
谢谢。"
"MSG_033_0","呵呵，事情圆满落幕……了吧？","MSG_033_0","机翻辅助：

呵呵，事情圆满落幕……了吧？

呵呵，一件事尘埃落定……是吗？

呵呵，一件事情解决了……是吗？"
"MSG_034_0","是啊，真是太好了。
那我们也去报告吧。","MSG_034_0","机翻辅助：

是啊，真是太好了。
那我们也去报告吧。

嗯，太好了。
那么，我们也去报告一下吧。

嗯，太好了。
那么，我们也去报告吧。"
"speaker_熊田","熊田","speaker_熊田",""
"speaker_白鐘 直斗","白钟直斗","speaker_白鐘 直斗","机翻辅助：

白钟直斗"
"speaker_明智 吾郎","明智吾郎","speaker_明智 吾郎","机翻辅助：

明智吾郎"
"speaker_クマ？","小熊？","speaker_クマ？","机翻辅助：

小熊？"
"speaker_明智・直斗","明智·直斗","speaker_明智・直斗","机翻辅助：

明智·直斗"
"speaker_カロリーヌ","卡萝丽娜","speaker_カロリーヌ","机翻辅助：

卡萝丽娜"
"speaker_クマ","小熊","speaker_クマ","机翻辅助：

小熊"
"speaker_ジュスティーヌ","芮丝汀娜","speaker_ジュスティーヌ","机翻辅助：

芮丝汀娜"
