ja,zh_Hans
ヴィシュヌ,毗湿奴
ミトラ,密特拉
アマテラス,天照大神
オーディン,奥汀
アタバク,大元帅明王
ホルス,荷鲁斯
ラクシュミ,吉祥天
スカアハ,斯卡哈
サラスヴァティ,妙音天女
サティ,娑提
アメノウズメ,天钿女命
シヴァ,湿婆
ホクトセイクン,北斗星君
セイテンタイセイ,齐天大圣
ディオニュソス,狄俄尼索斯
カーリー,迦梨
スカディ,丝卡蒂
パールヴァティ,帕尔瓦蒂
クシナダヒメ,奇稻田姬
キクリヒメ,菊理媛
ビシャモンテン,毘沙门天
トール,托尔
ジコクテン,持国天
タケミカヅチ,建御雷
オオクニヌシ,大国主
コウモクテン,广目天
ゾウチョウテン,增长天
タケミナカタ,建御名方
キマイラ,奇美拉
ビャッコ,白虎
センリ,仙狸
スザク,朱雀
シーサー,狮爷
カイチ,獬豸
ユニコーン,独角兽
フレイミーズ,火精灵
アクアンズ,水精灵
エアロス,风精灵
アーシーズ,磐石精灵
サキミタマ,幸魂
クシミタマ,奇魂
ニギミタマ,和魂
アラミタマ,荒魂
イフリート,伊弗利特
プルキシ,菩吉湿
オンコット,鸯伽陀
ジン,精灵
カラステング,鸦天狗
ディース,狄丝
イソラ,矶良
アプサラス,飞天
コッパテング,木叶天狗
ティターニア,蒂妲妮亚
オベロン,奥伯隆
トロール,巨怪
セタンタ,瑟坦特
ケルピー,凯尔皮
ジャックランタン,杰克灯笼
ハイピクシー,高等皮克希
ジャックフロスト,杰克霜精
ピクシー,皮克希
ソロネ,座天使
ドミニオン,主天使
ヴァーチャー,力天使
パワー,能天使
プリンシパリティ,权天使
アークエンジェル,大天使
エンジェル,天使
フラロウス,佛劳洛斯
デカラビア,单卡拉比
オセ,欧赛
ベリス,比利士
エリゴール,埃力格
フォルネウス,佛钮司
ユルング,虹蛇
ケツアルカトル,羽蛇神
ナーガラジャ,那伽之王
ミズチ,蛟
ナーガ,那伽
ノズチ,野槌
ケルベロス,克鲁贝洛斯
オルトロス,欧特鲁斯
スパルナ,金翅鸟
バイブ・カハ,战鸦
イヌガミ,犬神
ネコマタ,猫妖
ゴグマゴグ,歌革玛各
ティターン,泰坦
サルタヒコ,猿田彦
スダマ,山灵
カハク,花魄
コダマ,木灵
シキオウジ,式王子
オニ,鬼
ヨモツイクサ,黄泉军
モムノフ,桃生
シキガミ,式神
ランダ,兰达
ダーキニー,荼吉尼
ヤクシニー,母夜叉
ヨモツシコメ,黄泉丑女
ターラカ,陀罗迦
ダツエバ,夺衣婆
マダ,摩陀
ギリメカラ,基力梅卡拉
トウテツ,饕餮
パズス,帕祖祖
バフォメット,巴风特
モト,莫特
アルシエル,艾歇尔
スルト,斯尔特
アバドン,阿巴顿
ロキ,洛基
リリス,莉莉丝
ニュクス,倪克斯
クイーンメイブ,妖精女王
サキュバス,女梦魔
インキュバス,男梦魔
フォーモリア,弗莫尔
リリム,莉莉姆
フレスベルグ,赫拉斯瓦尔格
モスマン,天蛾人
ライジュウ,雷兽
ヌエ,奴延
バイコーン,双角兽
チン,鸩
ヴェータラ,毘陀罗
レギオン,恶灵军团
ヤカー,恶鬼
コロンゾン,克伦佐
ガキ,小鬼
シャドウ,阴影
ブラックウーズ,黑软泥怪
ブロブ,果冻怪
スライム,软泥怪
モウリョウ,魍魉
ウィルオウィスプ,鬼火
ミカエル,米迦勒
ガブリエル,加百列
ラファエル,拉斐尔
ウリエル,尤利尔
ガネーシャ,象头神
ヴァルキリー,女武神
アラハバキ,荒霸吐
クラマテング,鞍马天狗
ハヌマーン,哈奴曼
クー・フーリン,库夫林
セイリュウ,青龙
ゲンブ,玄武
バロン,巴隆
マカミ,真神
ガルーダ,迦楼罗
ヤタガラス,八咫乌
グルル,凶鸟
アルビオン,阿尔比昂
マネカタ,似人
サマエル,萨麦尔
ピシャーチャ,毕舍遮
キウン,迦温
キンキ,金鬼
スイキ,水鬼
フウキ,风鬼
オンギョウキ,隐形鬼
クロト,可罗索
ラケシス,拉克西斯
アトロポス,阿特罗波斯
ロア,罗瓦
ラフィン・スカル,笑面骷髅
ファントム,鬼魅
ダンテ,但丁
メタトロン,梅塔特隆
ベルゼブブ,别西卜
ペイルライダー,苍白骑士
ホワイトライダー,白骑士
レッドライダー,红骑士
ブラックライダー,黑骑士
マタドール,斗牛士
ヘルズエンジェル,地狱天使
だいそうじょう,大僧正
マザーハーロット,巴比伦大淫妇
トランペッター,吹号者
フトミミ,太洱
サカハギ,逆剥
ジャアクフロスト,邪恶霜精
シュジンコウ,主人公
スペクター,死亡幻影
アーリマン,阿里曼
ノア,诺亚
カグツチ,迦具土
アーソナ,尤索纳
ユリゼン,尤利壬
ルヴァ,鲁法
サーマス,塔马斯
バアル・アバター,巴力·神之化身
オセ・ハレル,福音欧赛
フラロウス・ハレル,佛劳洛斯·福音
マーラ,魔罗
マサカド,将门
駅員,站务员
影の男,黑影男
ルシファー,路西法
セブンアイ,七眼
ベルゼブブ・ヒト,别西卜·人型
ライドウ,雷道
マロガレ,混沌
ワダツミ,绵津见
アンク,生命之符
イヨマンテ,熊灵
シラヌイ,不知火
ヒフミ,一二三
カムド,神度
ナルカミ,鸣神
アナテマ,圣绝
ミアズマ,瘴气
ニルヴァーナ,涅槃
ムラクモ,丛云
ゲッシュ,誓约
ジェド,杰得
ムスペル,火巨人
ゲヘナ,炼狱
カムロギ,神漏岐
サタン,撒旦
アダマ,押玛
ヴィマーナ,维摩那
グンダリ,军荼利
ソフィア,苏菲亚
ガイア,盖亚
カイラース,垓拉瑟
マサカドゥス,将门
マッスルドリンコ,肌肉饮料
傷薬,伤药
魔石,魔石
宝玉,宝玉
宝玉輪,宝玉环
チャクラドロップ,脉轮露
チャクラポット,脉轮壶
グレイトチャクラ,宏伟脉轮
ソーマの雫,苏摩露水
ソーマ,苏摩
生玉,生玉
チャクラ金剛丹,脉轮金刚丹
道反玉,道返玉
反魂香,返魂香
イワクラの水,磐座之水
ディスポイズン,解毒剂
ディスパライズ,解麻剂
ディスチャーム,解魅剂
ディスクローズ,解封剂
ディストーン,解岩剂
マハラギの石,玛哈拉基石
マハブフの石,玛哈布芙石
マハジオの石,玛哈吉欧石
マハザンの石,玛哈赞石
マハンマの石,玛翰玛石
マハムドの石,玛哈姆多石
メギドの石,米吉多石
メギドラの石,米吉多拉石
毒矢,毒箭
セキレイの羽,鹡鸰羽
マカジャマの石,玛卡加玛石
瀕死の壷,濒死之壶
魔反鏡,魔反镜
物反鏡,物反镜
デカジャの石,迪卡加石
テトラジャの石,提特拉加石
力の香,力之香
魔力の香,魔力之香
体力の香,体力之香
速さの香,速之香
運の香,运之香
破魔の霊扇,破魔灵扇
反魂神珠,返魂神珠
万里の遠眼鏡,万里望远镜
封魔の鈴,封魔之铃
集魔の笛,集魔之笛
浮き足玉,飘浮玉
光玉,光玉
くらましの玉,匿踪玉
クガタチの湯,盟神探汤之水
しあわせチケット,福券
魔導書・薄,魔导书·薄
魔導書・厚,魔导书·厚
青銅の牛像,青铜牛雕像
黄金の牛像,黄金牛雕像
ヒュパテアの牛像,希帕提娅牛雕像
ダイアモンド,钻石
パール,珍珠
サファイア,蓝宝石
エメラルド,祖母绿
ルビー,红宝石
ヒスイ,翡翠
オパール,蛋白石
アメジスト,紫水晶
メノウ,玛瑙
ターコイズ,绿松石
ガーネット,石榴石
オニキス,缟玛瑙
コーラル,珊瑚
アクアマリン,海蓝宝石
職員用ＩＤカード,职员识别证
分院用ゲートパス,分院门禁卡
白のキーラ,白色耀光
黄のキーラ,黄色耀光
緑のキーラ,绿色耀光
赤のキーラ,红色耀光
千円札,千圆钞
マネカタの手紙,似人的书信
ウムギの玉,蛤贝玉
首かりスプーン,猎头匙
ヤヒロノヒモロギ,八寻神篱
鬼門の玉,鬼门玉
公の御剣,君主御剑
ヨヨギ公園のカギ,代代木公园的钥匙
アメノタカラ,天生魂
ツチノタカラ,地生魂
ヨミノタカラ,泉生魂
王冠のメノラー,王冠烛台
知恵のメノラー,智能烛台
理解のメノラー,理解烛台
慈悲のメノラー,慈悲烛台
神威のメノラー,神威烛台
美のメノラー,美艳烛台
永遠のメノラー,永恒烛台
威厳のメノラー,威严烛台
基礎のメノラー,根基烛台
王国のメノラー,王国烛台
知識のメノラー,知识烛台
月輪のカギ,圆月之钥
死兆石,死兆石
黒のバイザー,黑色护目镜
後生の土鈴,来世的土铃
明星のカギ,明星之钥
魔人,魔人
神兵,神兵
鬼衆,鬼众
魔徒,魔徒
聖魔,圣魔
業鬼,业鬼
魔闘士,魔斗士
魔教皇,魔教皇
修羅漢,修罗汉
魔軍将,魔将军
神霊,神灵
修羅王,修罗王
魔帝,魔帝
混沌王,混沌王
種族名,种族名
魔神,魔神
女神,女神
破壊神,破坏神
地母神,地母神
鬼神,鬼神
聖獣,圣兽
精霊,精灵
御魂,御魂
妖魔,妖魔
妖精,妖精
天使,天使
堕天使,堕天使
龍王,龙王
魔獣,魔兽
地霊,地灵
妖鬼,妖鬼
鬼女,鬼女
邪神,邪神
魔王,魔王
夜魔,夜魔
妖獣,妖兽
幽鬼,幽鬼
外道,邪道
大天使,大天使
軍神,军神
幻魔,幻魔
龍神,龙神
神獣,神兽
霊鳥,灵鸟
凶鳥,凶鸟
死神,死神
威霊,威灵
擬人,拟人
分霊,分灵
熾天使,炽天使
無尽光,无尽光
新皇,新皇
大魔王,大魔王
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
ザン,赞
ザンマ,赞玛
ザンダイン,赞达因
マハザン,玛哈赞
マハザンマ,玛哈赞玛
マハザンダイン,玛哈赞达因
メギド,米吉多
メギドラ,米吉多拉
メギドラオン,米吉多拉翁
ハマ,哈玛
ハマオン,哈玛翁
マハンマ,玛翰玛
マハンマオン,玛翰玛翁
ムド,姆多
ムドオン,姆多翁
マハムド,玛哈姆多
マハムドオン,玛哈姆多翁
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
メディア,梅迪亚
メディラマ,梅迪拉玛
メディアラハン,梅迪亚拉翰
マカトラ,玛卡特拉
パトラ,帕特拉
メパトラ,梅帕特拉
クロズディ,克洛兹迪
ポズムディ,波兹姆迪
パララディ,帕拉拉迪
ペトラディ,沛特拉迪
リカーム,利卡姆
サマリカーム,萨玛利卡姆
リカームドラ,利卡姆多拉
タルンダ,塔伦达
スクンダ,斯坤达
ラクンダ,拉坤达
マカジャマ,玛卡加玛
マカジャマオン,玛卡加玛翁
デカジャ,迪卡加
シバブー,恸哭紧缚
ドルミナー,永眠
プリンパ,普林帕
マリンカリン,马琳卡琳
テンタラフー,颠塔拉弗
タルカジャ,塔尔卡加
スクカジャ,斯库卡加
ラクカジャ,拉库卡加
マカカジャ,玛卡卡加
テトラジャ,提特拉加
マカラカーン,玛卡拉康
テトラカーン,提特拉康
アナライズ,分析
トラフーリ,特拉芙里
エストマ,艾斯托玛
リベラマ,利悖拉玛
リフトマ,利芙托玛
ライトマ,莱托玛
デクンダ,迪坤达
ペストクロップ,夺命瘟疫
突撃,突击
地獄突き,地狱冲击
暴れまくり,横冲直撞
烈風破,烈风破
冥界破,冥界破
ヒートウェーブ,灼热波浪
ベノンザッパー,猛毒之击
絶妙剣,绝妙剑
八相発破,八相发破
暗夜剣,暗夜剑
不動剣,不动剑
ヤマオロシ,山卸风
デスバウンド,死亡界限
ギロチンカット,断头斩
乱入剣,乱入剑
九十九針,九十九针
マヒ針,麻痹针
毒針,猛毒针
石化針,石化针
玉砕破,玉碎破
特攻,特攻
かみつき,噬咬
毒かみつき,猛毒噬咬
魅惑かみつき,魅惑噬咬
石化かみつき,石化噬咬
マヒかみつき,麻痹噬咬
ヘルファング,地狱猎牙
ひっかき,抓击
毒ひっかき,猛毒抓击
マヒひっかき,麻痹抓击
アイアンクロウ,钢爪
神光破,神光破
死亡遊戯,死亡游戏
ゼロス・ビート,仄洛斯冲击
破邪の光弾,破邪光弹
攻撃する,攻击
ジャベリンレイン,枪雨
鬼神楽,鬼神乐
至高の魔弾,至高魔弹
自爆,自爆
邪霊蜂起,邪灵蜂起
大地震,大地震
神恩のラッパ,神恩号角
魔縁のラッパ,魔缘号角
螺旋の蛇,螺旋蛇
マグマ・アクシス,熔岩内核
地母の晩餐,地母的晚餐
反撃,反击
猛反撃,猛反击
デスカウンター,绝命反击
追い討ち,追击
死魔の触手,死魔的触手
ファイアブレス,火焰之息
地獄の業火,地狱业火
プロミネンス,日珥
ラグナロク,诸神黄昏
アイスブレス,冰冻之息
絶対零度,绝对零度
放電,放电
ショックウェーブ,脉冲波浪
羽ばたき,展翅
竜巻,龙卷
真空刃,真空刃
湿った風,湿风
裁きの雷火,制裁雷火
天罰,天谴
デスタッチ,死亡之触
吸魔,吸魔
吸血,吸血
破魔の雷光,破魔雷光
明星光,明星之光
汚れ無き威光,纯洁威光
ヘルズアイ,地狱之眼
ペトラアイ,石化之眼
クロスアイ,封闭之眼
イービルアイ,恶魔之眼
バエルの呪い,巴尔的诅咒
毒ガスブレス,猛毒之息
雄叫び,咆哮
フォッグブレス,浓雾之息
挑発,挑衅
