ja,zh_Hans
Ｐ３主人公,Ｐ３主人公
Ｐ３女主人公,Ｐ３女主人公
Ｐ３主人公（女）,Ｐ３主人公（女）
伊織 順平,伊织 顺平
順平,顺平
伊織,伊织
岳羽 ゆかり,岳羽 由加莉
ゆかり,由加莉
岳羽,岳羽
桐条 美鶴,桐条 美鹤
美鶴,美鹤
桐条,桐条
真田 明彦,真田 明彦
明彦,明彦
真田,真田
山岸 風花,山岸 风花
風花,风花
山岸,山岸
荒垣 真次郎,荒垣 真次郎
真次郎,真次郎
荒垣,荒垣
アイギス,埃癸斯
天田 乾,天田 乾
乾,乾
天田,天田
コロマル,虎狼丸
Ｐ４主人公,Ｐ４主人公
クマ,小熊
花村 陽介,花村 阳介
陽介,阳介
花村,花村
里中 千枝,里中 千枝
千枝,千枝
里中,里中
天城 雪子,天城 雪子
雪子,雪子
天城,天城
巽 完二,巽 完二
完二,完二
巽,巽
白鐘 直斗,白钟 直斗
直斗,直斗
白鐘,白钟
久慈川 りせ,久慈川 理世
りせ,理世
久慈川,久慈川
Ｐ５主人公,Ｐ５主人公
モルガナ,摩尔加纳
坂本 竜司,坂本 龙司
竜司,龙司
坂本,坂本
高巻 杏,高卷 杏
杏,杏
高巻,高卷
喜多川 祐介,喜多川 佑介
祐介,佑介
喜多川,喜多川
新島 真,新岛 真
真,真
新島,新岛
佐倉 双葉,佐仓 双叶
双葉,双叶
佐倉,佐仓
奥村 春,奥村 春
春,春
奥村,奥村
明智 吾郎,明智 吾郎
吾郎,吾郎
明智,明智
イゴール,伊格尔
エリザベス,伊莉莎白
テオドア,西奥多
マーガレット,玛格丽特
堂島 菜々子,堂岛 菜菜子
堂島,堂岛
菜々子,菜菜子
熊田,熊田
マリー,玛丽
カロリーヌ,卡萝莉娜
ジュスティーヌ,芮丝汀娜
ひかり,光
ナギ,凪
ドー,哆
エンリル,恩利尔
ヨウスケサウルス,阳介龙
リボン,蝴蝶结
（ＳＥ）Ｐ３主人公,（ＳＥ）Ｐ３主人公
（ＳＥ）Ｐ３女主人公,（ＳＥ）Ｐ３女主人公
（ＳＥ）Ｐ３主人公（女）,（ＳＥ）Ｐ３主人公（女）
（ＳＥ）伊織 順平,（ＳＥ）伊织 顺平
（ＳＥ）岳羽 ゆかり,（ＳＥ）岳羽 由加莉
（ＳＥ）桐条 美鶴,（ＳＥ）桐条 美鹤
（ＳＥ）真田 明彦,（ＳＥ）真田 明彦
（ＳＥ）山岸 風花,（ＳＥ）山岸 风花
（ＳＥ）荒垣 真次郎,（ＳＥ）荒垣 真次郎
（ＳＥ）アイギス,（ＳＥ）埃癸斯
（ＳＥ）天田 乾,（ＳＥ）天田 乾
（ＳＥ）コロマル,（ＳＥ）虎狼丸
（ＳＥ）Ｐ４主人公,（ＳＥ）Ｐ４主人公
（ＳＥ）クマ,（ＳＥ）小熊
（ＳＥ）花村 陽介,（ＳＥ）花村 阳介
（ＳＥ）里中 千枝,（ＳＥ）里中 千枝
（ＳＥ）天城 雪子,（ＳＥ）天城 雪子
（ＳＥ）巽 完二,（ＳＥ）巽 完二
（ＳＥ）白鐘 直斗,（ＳＥ）白钟 直斗
（ＳＥ）久慈川 りせ,（ＳＥ）久慈川 理世
（ＳＥ）Ｐ５主人公,（ＳＥ）Ｐ５主人公
（ＳＥ）モルガナ,（ＳＥ）摩尔加纳
（ＳＥ）坂本 竜司,（ＳＥ）坂本 龙司
（ＳＥ）高巻 杏,（ＳＥ）高卷 杏
（ＳＥ）喜多川 祐介,（ＳＥ）喜多川 佑介
（ＳＥ）新島 真,（ＳＥ）新岛 真
（ＳＥ）佐倉 双葉,（ＳＥ）佐仓 双叶
（ＳＥ）奥村 春,（ＳＥ）奥村 春
（ＳＥ）明智 吾郎,（ＳＥ）明智 吾郎
