ja,zh_Hans
サタン,撒旦
ルシファー,路西法
ダグザ,达格达
コンス,孔苏
ゼウス,宙斯
オーディン,奥丁
ミトラ,密特拉
アタバク,大元帅明王
ホルス,荷鲁斯
トート,托特
コンス・ラー,孔苏·拉
ヴィシュヌ,毗湿奴
バアル,巴力
デメテル,德墨忒尔
アナーヒター,阿娜希塔
ラクシュミ,吉祥天女
ノルン,诺伦
イズン,伊登
サラスヴァティ,妙音天女
イシュタル,伊什塔尔
スカアハ,斯卡哈
パールヴァティ,帕尔瓦蒂
アメノウズメ,天钿女命
フォルトゥナ,福尔图娜
マリア,玛利亚
アルテミス,阿提密斯
コノハナサクヤ,木花朔耶
ハヌマーン,哈奴曼
フィン・マックール,芬恩·麦克库尔
クー・フーリン,库夫林
クラマテング,鞍马天狗
アマノザコ,天逆每
クルースニク,克雷斯尼克
アナンシ,安纳西
コッパテング,木叶天狗
アプサラス,飞天
アガシオン,阿珈席翁
マンドレイク,曼陀罗
ディース,狄丝
イフリート,伊弗利特
ティターニア,缇坦妮雅
オベロン,奥伯隆
シルキー,希路奇
セタンタ,瑟坦特
ケルピー,凯尔派
ハイピクシー,高等皮克希
ジャックランタン,杰克灯笼
ジャックフロスト,杰克霜精
ピクシー,皮克希
ナホビホ,创吼
クイーンメイブ,妖精女王
サキュバス,女梦魔
キウン,迦温
リリム,莉莉姆
インキュバス,男梦魔
モコイ,莫考伊
ザントマン,睡魔
リリス,莉莉丝
ジャアクフロスト,邪恶霜精
ジョカ,女娲
アモン,亚蒙
マーラ,魔罗
メフィスト,墨菲斯托
シュウ,蚩尤
スルト,苏尔特尔
ベルゼブブ,别西卜
アリオク,亚略
ベリアル,彼列
アバドン,亚巴顿
モロク,摩洛
ベルフェゴール,贝尔芬格
キングフロスト,霜精之王
ミトラス,米特拉斯
ロキ,洛基
コウリュウ,黄龙
ケツアルカトル,羽蛇神
セイリュウ,青龙
ゲンブ,玄武
アナンタ,阿难陀
ヴリトラ,弗栗多
ニャミニャミ,涯米涯米
ヤマタノオロチ,八岐大蛇
ナーガラジャ,那伽之王
ユルング,虹蛇
ナーガ,那伽
ノズチ,野槌
ヴィーヴル,薇薇尔
ヴァスキ,婆苏吉
セト,赛特
バジリスク,巴西利斯克
アイトワラス,鸡龙
